COG_	Cat	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Chromosome	Start_Coord	End_Coord	Gene_Description
COG0025	P	8050122363	Ga0611941_001_830367_832421	Na+/H+_antiporter	8050121573	Enterococcus_faecalis_Wae12b		830367	832421	NhaP-type_Na+/H+_or_K+/H+_antiporter
COG0026	F	8050121814	Ga0611941_001_257551_258666	5-(carboxyamino)imidazole_ribonucleotide_synthase	8050121573	Enterococcus_faecalis_Wae12b		257551	258666	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)
COG0026	F	8050122160	Ga0611941_001_626013_627137	5-(carboxyamino)imidazole_ribonucleotide_synthase	8050121573	Enterococcus_faecalis_Wae12b		626013	627137	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)
COG0028	E_H	8050122839	Ga0611941_003_105364_107016	acetolactate_synthase-1/2/3_large_subunit	8050121573	Enterococcus_faecalis_Wae12b		105364	107016	Acetolactate_synthase_large_subunit_or_other_thiamine_pyrophosphate-requiring_enzyme
COG0030	J	8050123923	Ga0611941_008_117095_117982	16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase	8050121573	Enterococcus_faecalis_Wae12b		117095	117982	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)
COG0031	E	8050123621	Ga0611941_006_135473_136390	cysteine_synthase_A	8050121573	Enterococcus_faecalis_Wae12b		135473	136390	Cysteine_synthase
COG0031	E	8050122353	Ga0611941_001_818986_819918	cysteine_synthase_A	8050121573	Enterococcus_faecalis_Wae12b		818986	819918	Cysteine_synthase
COG0034	F	8050122165	Ga0611941_001_631134_632573	amidophosphoribosyltransferase	8050121573	Enterococcus_faecalis_Wae12b		631134	632573	Glutamine_phosphoribosylpyrophosphate_amidotransferase
COG0035	F	8050121674	Ga0611941_001_107892_108521	uracil_phosphoribosyltransferase	8050121573	Enterococcus_faecalis_Wae12b		107892	108521	Uracil_phosphoribosyltransferase
COG0036	G	8050123104	Ga0611941_004_89043_89696	ribulose-phosphate_3-epimerase	8050121573	Enterococcus_faecalis_Wae12b		89043	89696	Pentose-5-phosphate-3-epimerase
COG0037	J	8050122471	Ga0611941_002_6742_8130	tRNA(Ile)-lysidine_synthase	8050121573	Enterococcus_faecalis_Wae12b		6742	8130	tRNA(Ile)-lysidine_synthase_TilS/MesJ
COG0038	P	8050124377	Ga0611941_013_30605_31813	H+/Cl-_antiporter_ClcA	8050121573	Enterococcus_faecalis_Wae12b		30605	31813	H+/Cl-_antiporter_ClcA
COG0038	P	8050123784	Ga0611941_007_116918_118477	H+/Cl-_antiporter_ClcA	8050121573	Enterococcus_faecalis_Wae12b		116918	118477	H+/Cl-_antiporter_ClcA
COG0038	P	8050121725	Ga0611941_001_162015_163280	H+/Cl-_antiporter_ClcA	8050121573	Enterococcus_faecalis_Wae12b		162015	163280	H+/Cl-_antiporter_ClcA
COG0039	C	8050123707	Ga0611941_007_37329_38282	L-lactate_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		37329	38282	Malate/lactate_dehydrogenase
COG0039	C	8050122478	Ga0611941_002_15808_16800	L-lactate_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		15808	16800	Malate/lactate_dehydrogenase
COG0041	F	8050122159	Ga0611941_001_625532_626020	5-(carboxyamino)imidazole_ribonucleotide_mutase	8050121573	Enterococcus_faecalis_Wae12b		625532	626020	Phosphoribosylcarboxyaminoimidazole_(NCAIR)_mutase
COG0042	J	8050123187	Ga0611941_004_173211_174185	tRNA-dihydrouridine_synthase	8050121573	Enterococcus_faecalis_Wae12b		173211	174185	tRNA-dihydrouridine_synthase
COG0042	J	8050122467	Ga0611941_002_1860_2858	nifR3_family_TIM-barrel_protein	8050121573	Enterococcus_faecalis_Wae12b		1860	2858	tRNA-dihydrouridine_synthase
COG0044	F	8050124369	Ga0611941_013_21479_22843	allantoinase	8050121573	Enterococcus_faecalis_Wae12b		21479	22843	Dihydroorotase_or_related_cyclic_amidohydrolase
COG0044	F	8050122226	Ga0611941_001_687919_689202	dihydroorotase	8050121573	Enterococcus_faecalis_Wae12b		687919	689202	Dihydroorotase_or_related_cyclic_amidohydrolase
COG0044	F	8050121646	Ga0611941_001_75264_76637	dihydropyrimidinase	8050121573	Enterococcus_faecalis_Wae12b		75264	76637	Dihydroorotase_or_related_cyclic_amidohydrolase
COG0046	F	8050122164	Ga0611941_001_628939_631158	phosphoribosylformylglycinamidine_synthase_II	8050121573	Enterococcus_faecalis_Wae12b		628939	631158	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_synthetase_domain
COG0047	F	8050122163	Ga0611941_001_628268_628942	phosphoribosylformylglycinamidine_synthase_I	8050121573	Enterococcus_faecalis_Wae12b		628268	628942	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_glutamine_amidotransferase_domain
COG0048	J	8050122533	Ga0611941_002_56396_56809	small_subunit_ribosomal_protein_S12	8050121573	Enterococcus_faecalis_Wae12b		56396	56809	Ribosomal_protein_S12
COG0049	J	8050122532	Ga0611941_002_55870_56340	small_subunit_ribosomal_protein_S7	8050121573	Enterococcus_faecalis_Wae12b		55870	56340	Ribosomal_protein_S7
COG0050	J	8050122530	Ga0611941_002_52367_53554	elongation_factor_Tu	8050121573	Enterococcus_faecalis_Wae12b		52367	53554	Translation_elongation_factor_EF-Tu,_a_GTPase
COG0051	J	8050122527	Ga0611941_002_49266_49574	small_subunit_ribosomal_protein_S10	8050121573	Enterococcus_faecalis_Wae12b		49266	49574	Ribosomal_protein_S10
COG0052	J	8050121786	Ga0611941_001_223539_224324	small_subunit_ribosomal_protein_S2	8050121573	Enterococcus_faecalis_Wae12b		223539	224324	Ribosomal_protein_S2
COG0053	P	8050123630	Ga0611941_006_142767_143702	cation_diffusion_facilitator_family_transporter	8050121573	Enterococcus_faecalis_Wae12b		142767	143702	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter
COG0053	P	8050124330	Ga0611941_012_65672_66841	cation_diffusion_facilitator_family_transporter	8050121573	Enterococcus_faecalis_Wae12b		65672	66841	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter
COG0055	C	8050121620	Ga0611941_001_45977_47383	F-type_H+-transporting_ATPase_subunit_beta	8050121573	Enterococcus_faecalis_Wae12b		45977	47383	FoF1-type_ATP_synthase,_beta_subunit
COG0056	C	8050121618	Ga0611941_001_43423_44979	F-type_H+-transporting_ATPase_subunit_alpha	8050121573	Enterococcus_faecalis_Wae12b		43423	44979	FoF1-type_ATP_synthase,_alpha_subunit
COG0057	G	8050122038	Ga0611941_001_490196_491197	glyceraldehyde_3-phosphate_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		490196	491197	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase
COG0057	G	8050122409	Ga0611941_001_873317_874327	glyceraldehyde_3-phosphate_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		873317	874327	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase
COG0060	J	8050123856	Ga0611941_008_54981_57761	isoleucyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		54981	57761	Isoleucyl-tRNA_synthetase
COG0061	H	8050124659	Ga0611941_021_188_985	NAD+_kinase	8050121573	Enterococcus_faecalis_Wae12b		188	985	NAD_kinase
COG0063	F	8050122157	Ga0611941_001_623468_624343	ADP-dependent_NAD(P)H-hydrate_dehydratase	8050121573	Enterococcus_faecalis_Wae12b		623468	624343	NAD(P)H-hydrate_repair_enzyme_Nnr,_NAD(P)H-hydrate_dehydratase_domain
COG0064	J	8050123790	Ga0611941_007_125412_126842	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B	8050121573	Enterococcus_faecalis_Wae12b		125412	126842	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit
COG0072	J	8050122933	Ga0611941_003_194853_197276	phenylalanyl-tRNA_synthetase_beta_chain	8050121573	Enterococcus_faecalis_Wae12b		194853	197276	Phenylalanyl-tRNA_synthetase_beta_subunit
COG0073	J	8050123929	Ga0611941_008_122869_124878	methionyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		122869	124878	tRNA-binding_EMAP/Myf_domain<<>>COG0143
COG0073	J	8050123015	Ga0611941_004_5984_6604	tRNA-binding_protein	8050121573	Enterococcus_faecalis_Wae12b		5984	6604	tRNA-binding_EMAP/Myf_domain
COG0074	C	8050124380	Ga0611941_013_34650_36209	succinyl-CoA_synthetase_alpha_subunit	8050121573	Enterococcus_faecalis_Wae12b		34650	36209	Succinyl-CoA_synthetase,_alpha_subunit
COG0074	C	8050123583	Ga0611941_006_93845_96856	succinyl-CoA_synthetase_alpha_subunit	8050121573	Enterococcus_faecalis_Wae12b		93845	96856	Succinyl-CoA_synthetase,_alpha_subunit
COG0075	E_F	8050124365	Ga0611941_013_16145_17353	(S)-ureidoglycine-glyoxylate_aminotransferase	8050121573	Enterococcus_faecalis_Wae12b		16145	17353	Archaeal_aspartate_aminotransferase_or_a_related_aminotransferase,_includes_purine_catabolism_protein_PucG
COG0076	E	8050123700	Ga0611941_007_29753_31615	tyrosine_decarboxylase	8050121573	Enterococcus_faecalis_Wae12b		29753	31615	Glutamate_or_tyrosine_decarboxylase_or_a_related_PLP-dependent_protein
COG0077	E	8050122369	Ga0611941_001_835983_836831	prephenate_dehydratase	8050121573	Enterococcus_faecalis_Wae12b		835983	836831	Prephenate_dehydratase
COG0078	E	8050122580	Ga0611941_002_104005_105024	ornithine_carbamoyltransferase	8050121573	Enterococcus_faecalis_Wae12b		104005	105024	Ornithine_carbamoyltransferase
COG0078	E	8050121649	Ga0611941_001_79209_80402	knotted_carbamoyltransferase_YgeW	8050121573	Enterococcus_faecalis_Wae12b		79209	80402	Ornithine_carbamoyltransferase
COG0078	E	8050123796	Ga0611941_007_131394_132413	putrescine_carbamoyltransferase	8050121573	Enterococcus_faecalis_Wae12b		131394	132413	Ornithine_carbamoyltransferase
COG0080	J	8050123444	Ga0611941_005_137363_137785	large_subunit_ribosomal_protein_L11	8050121573	Enterococcus_faecalis_Wae12b		137363	137785	Ribosomal_protein_L11
COG0081	J	8050123445	Ga0611941_005_137897_138586	large_subunit_ribosomal_protein_L1	8050121573	Enterococcus_faecalis_Wae12b		137897	138586	Ribosomal_protein_L1
COG0082	E	8050122373	Ga0611941_001_839786_840952	chorismate_synthase	8050121573	Enterococcus_faecalis_Wae12b		839786	840952	Chorismate_synthase
COG0083	E	8050121768	Ga0611941_001_207580_208443	homoserine_kinase	8050121573	Enterococcus_faecalis_Wae12b		207580	208443	Homoserine_kinase
COG0084	N	8050123925	Ga0611941_008_118582_119352	TatD_DNase_family_protein	8050121573	Enterococcus_faecalis_Wae12b		118582	119352	Tat_protein_secretion_system_quality_control_protein_TatD_(DNase_activity)
COG0085	K	8050123213	Ga0611941_004_202471_206085	DNA-directed_RNA_polymerase_subunit_beta	8050121573	Enterococcus_faecalis_Wae12b		202471	206085	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit
COG0086	K	8050123212	Ga0611941_004_198651_202304	DNA-directed_RNA_polymerase_subunit_beta'	8050121573	Enterococcus_faecalis_Wae12b		198651	202304	DNA-directed_RNA_polymerase,_beta'_subunit/160_kD_subunit
COG0087	J	8050122526	Ga0611941_002_48615_49244	large_subunit_ribosomal_protein_L3	8050121573	Enterococcus_faecalis_Wae12b		48615	49244	Ribosomal_protein_L3
COG0088	J	8050122525	Ga0611941_002_47966_48589	large_subunit_ribosomal_protein_L4	8050121573	Enterococcus_faecalis_Wae12b		47966	48589	Ribosomal_protein_L4
COG0089	J	8050122524	Ga0611941_002_47676_47966	large_subunit_ribosomal_protein_L23	8050121573	Enterococcus_faecalis_Wae12b		47676	47966	Ribosomal_protein_L23
COG0090	J	8050122523	Ga0611941_002_46806_47636	large_subunit_ribosomal_protein_L2	8050121573	Enterococcus_faecalis_Wae12b		46806	47636	Ribosomal_protein_L2
COG0091	J	8050122521	Ga0611941_002_46116_46463	large_subunit_ribosomal_protein_L22	8050121573	Enterococcus_faecalis_Wae12b		46116	46463	Ribosomal_protein_L22
COG0092	J	8050122520	Ga0611941_002_45393_46049	small_subunit_ribosomal_protein_S3	8050121573	Enterococcus_faecalis_Wae12b		45393	46049	Ribosomal_protein_S3
COG0093	J	8050122516	Ga0611941_002_44062_44430	large_subunit_ribosomal_protein_L14	8050121573	Enterococcus_faecalis_Wae12b		44062	44430	Ribosomal_protein_L14
COG0094	J	8050122514	Ga0611941_002_43150_43689	large_subunit_ribosomal_protein_L5	8050121573	Enterococcus_faecalis_Wae12b		43150	43689	Ribosomal_protein_L5
COG0095	H	8050123715	Ga0611941_007_43622_44635	lipoate-protein_ligase_A	8050121573	Enterococcus_faecalis_Wae12b		43622	44635	Lipoate-protein_ligase_A
COG0095	H	8050123423	Ga0611941_005_117128_118132	lipoate-protein_ligase_A	8050121573	Enterococcus_faecalis_Wae12b		117128	118132	Lipoate-protein_ligase_A
COG0095	H	8050122906	Ga0611941_003_171908_172759	octanoyl-[GcvH]:protein_N-octanoyltransferase	8050121573	Enterococcus_faecalis_Wae12b		171908	172759	Lipoate-protein_ligase_A
COG0096	J	8050122512	Ga0611941_002_42512_42910	small_subunit_ribosomal_protein_S8	8050121573	Enterococcus_faecalis_Wae12b		42512	42910	Ribosomal_protein_S8
COG0097	J	8050122511	Ga0611941_002_41944_42480	large_subunit_ribosomal_protein_L6	8050121573	Enterococcus_faecalis_Wae12b		41944	42480	Ribosomal_protein_L6P/L9E
COG0098	J	8050122509	Ga0611941_002_40906_41406	small_subunit_ribosomal_protein_S5	8050121573	Enterococcus_faecalis_Wae12b		40906	41406	Ribosomal_protein_S5
COG0099	J	8050122502	Ga0611941_002_37225_37590	small_subunit_ribosomal_protein_S13	8050121573	Enterococcus_faecalis_Wae12b		37225	37590	Ribosomal_protein_S13
COG0100	J	8050122501	Ga0611941_002_36808_37197	small_subunit_ribosomal_protein_S11	8050121573	Enterococcus_faecalis_Wae12b		36808	37197	Ribosomal_protein_S11
COG0101	J	8050124387	Ga0611941_013_44969_45709	tRNA_pseudouridine38-40_synthase	8050121573	Enterococcus_faecalis_Wae12b		44969	45709	tRNA_U38,U39,U40_pseudouridine_synthase_TruA
COG0101	J	8050122492	Ga0611941_002_29219_29968	tRNA_pseudouridine38-40_synthase	8050121573	Enterococcus_faecalis_Wae12b		29219	29968	tRNA_U38,U39,U40_pseudouridine_synthase_TruA
COG0102	J	8050123206	Ga0611941_004_194219_194662	large_subunit_ribosomal_protein_L13	8050121573	Enterococcus_faecalis_Wae12b		194219	194662	Ribosomal_protein_L13
COG0103	J	8050123205	Ga0611941_004_193813_194205	small_subunit_ribosomal_protein_S9	8050121573	Enterococcus_faecalis_Wae12b		193813	194205	Ribosomal_protein_S9
COG0104	F	8050122660	Ga0611941_002_195684_196976	adenylosuccinate_synthase	8050121573	Enterococcus_faecalis_Wae12b		195684	196976	Adenylosuccinate_synthase
COG0105	F	8050123823	Ga0611941_008_20033_20434	nucleoside-diphosphate_kinase	8050121573	Enterococcus_faecalis_Wae12b		20033	20434	Nucleoside_diphosphate_kinase
COG0110	R	8050122984	Ga0611941_003_247207_247845	maltose_O-acetyltransferase	8050121573	Enterococcus_faecalis_Wae12b		247207	247845	Acetyltransferase_(isoleucine_patch_superfamily)
COG0110	R	8050122482	Ga0611941_002_21058_21903	maltose_O-acetyltransferase	8050121573	Enterococcus_faecalis_Wae12b		21058	21903	Acetyltransferase_(isoleucine_patch_superfamily)<<>>COG1605
COG0110	R	8050124081	Ga0611941_010_17424_18005	acetyltransferase-like_isoleucine_patch_superfamily_enzyme	8050121573	Enterococcus_faecalis_Wae12b		17424	18005	Acetyltransferase_(isoleucine_patch_superfamily)
COG0111	H	8050123126	Ga0611941_004_109983_110984	phosphoglycerate_dehydrogenase-like_enzyme	8050121573	Enterococcus_faecalis_Wae12b		109983	110984	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase
COG0111	H	8050124174	Ga0611941_010_101716_102678	phosphoglycerate_dehydrogenase-like_enzyme	8050121573	Enterococcus_faecalis_Wae12b		101716	102678	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase
COG0112	E	8050121673	Ga0611941_001_106522_107760	glycine_hydroxymethyltransferase	8050121573	Enterococcus_faecalis_Wae12b		106522	107760	Glycine/serine_hydroxymethyltransferase
COG0115	E_H	8050122154	Ga0611941_001_620194_621213	branched-chain_amino_acid_aminotransferase	8050121573	Enterococcus_faecalis_Wae12b		620194	621213	Branched-chain_amino_acid_aminotransferase/4-amino-4-deoxychorismate_lyase
COG0116	J	8050122897	Ga0611941_003_162498_163661	putative_N6-adenine-specific_DNA_methylase	8050121573	Enterococcus_faecalis_Wae12b		162498	163661	23S_rRNA_G2445_N2-methylase_RlmL
COG0120	G	8050122534	Ga0611941_002_57154_57834	ribose_5-phosphate_isomerase_A	8050121573	Enterococcus_faecalis_Wae12b		57154	57834	Ribose_5-phosphate_isomerase
COG0124	J	8050122031	Ga0611941_001_482548_483849	histidyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		482548	483849	Histidyl-tRNA_synthetase
COG0125	F	8050123402	Ga0611941_005_96470_97108	dTMP_kinase	8050121573	Enterococcus_faecalis_Wae12b		96470	97108	Thymidylate_kinase
COG0126	G	8050122039	Ga0611941_001_491324_492517	phosphoglycerate_kinase	8050121573	Enterococcus_faecalis_Wae12b		491324	492517	3-phosphoglycerate_kinase
COG0127	F	8050122927	Ga0611941_003_189188_190543	ribonuclease_PH	8050121573	Enterococcus_faecalis_Wae12b		189188	190543	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family<<>>COG0689
COG0127	F	8050123246	Ga0611941_004_235511_236104	XTP/dITP_diphosphohydrolase	8050121573	Enterococcus_faecalis_Wae12b		235511	236104	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family
COG0128	E	8050122966	Ga0611941_003_233711_234016	5-enolpyruvylshikimate-3-phosphate_synthase	8050121573	Enterococcus_faecalis_Wae12b		233711	234016	5-enolpyruvylshikimate-3-phosphate_synthase
COG0128	E	8050122371	Ga0611941_001_837365_838645	3-phosphoshikimate_1-carboxyvinyltransferase	8050121573	Enterococcus_faecalis_Wae12b		837365	838645	5-enolpyruvylshikimate-3-phosphate_synthase
COG0130	J	8050123961	Ga0611941_009_19773_20693	tRNA_pseudouridine55_synthase	8050121573	Enterococcus_faecalis_Wae12b		19773	20693	tRNA_U55_pseudouridine_synthase_TruB,_may_also_work_on_U342_of_tmRNA
COG0136	E	8050122868	Ga0611941_003_135211_136278	aspartate-semialdehyde_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		135211	136278	Aspartate-semialdehyde_dehydrogenase
COG0138	F	8050122168	Ga0611941_001_634172_635713	phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase	8050121573	Enterococcus_faecalis_Wae12b		634172	635713	AICAR_transformylase/IMP_cyclohydrolase_PurH
COG0142	H	8050123878	Ga0611941_008_78062_78943	geranylgeranyl_diphosphate_synthase_type_II	8050121573	Enterococcus_faecalis_Wae12b		78062	78943	Geranylgeranyl_pyrophosphate_synthase
COG0142	H	8050123241	Ga0611941_004_232290_233276	heptaprenyl_diphosphate_synthase	8050121573	Enterococcus_faecalis_Wae12b		232290	233276	Geranylgeranyl_pyrophosphate_synthase
COG0142	H	8050121949	Ga0611941_001_417449_418429	heptaprenyl_diphosphate_synthase	8050121573	Enterococcus_faecalis_Wae12b		417449	418429	Geranylgeranyl_pyrophosphate_synthase
COG0144	J	8050123108	Ga0611941_004_93766_95145	16S_rRNA_(cytosine967-C5)-methyltransferase	8050121573	Enterococcus_faecalis_Wae12b		93766	95145	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family
COG0145	E_Q	8050123254	Ga0611941_004_241619_243172	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase_beta_subunit	8050121573	Enterococcus_faecalis_Wae12b		241619	243172	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase,_beta_subunit
COG0148	G	8050122041	Ga0611941_001_493453_494751	enolase	8050121573	Enterococcus_faecalis_Wae12b		493453	494751	Enolase
COG0149	G	8050122040	Ga0611941_001_492566_493321	triosephosphate_isomerase	8050121573	Enterococcus_faecalis_Wae12b		492566	493321	Triosephosphate_isomerase
COG0150	F	8050122166	Ga0611941_001_632575_633606	phosphoribosylformylglycinamidine_cyclo-ligase	8050121573	Enterococcus_faecalis_Wae12b		632575	633606	Phosphoribosylaminoimidazole_(AIR)_synthetase
COG0151	F	8050122169	Ga0611941_001_635732_636979	phosphoribosylamine--glycine_ligase	8050121573	Enterococcus_faecalis_Wae12b		635732	636979	Phosphoribosylamine-glycine_ligase
COG0152	F	8050122161	Ga0611941_001_627289_628002	phosphoribosylaminoimidazole-succinocarboxamide_synthase	8050121573	Enterococcus_faecalis_Wae12b		627289	628002	Phosphoribosylaminoimidazole-succinocarboxamide_synthase
COG0153	G	8050122981	Ga0611941_003_244389_245552	galactokinase	8050121573	Enterococcus_faecalis_Wae12b		244389	245552	Galactokinase
COG0154	J	8050123800	Ga0611941_007_136084_137670	amidase	8050121573	Enterococcus_faecalis_Wae12b		136084	137670	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase
COG0154	J	8050123789	Ga0611941_007_123943_125412	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_A	8050121573	Enterococcus_faecalis_Wae12b		123943	125412	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase
COG0154	J	8050124355	Ga0611941_013_6255_7703	amidase	8050121573	Enterococcus_faecalis_Wae12b		6255	7703	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase
COG0154	J	8050123826	Ga0611941_008_22273_24540	Asp-tRNA(Asn)/Glu-tRNA(Gln)_amidotransferase_A_subunit_family_amidase	8050121573	Enterococcus_faecalis_Wae12b		22273	24540	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase
COG0162	J	8050123699	Ga0611941_007_28198_29454	tyrosyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		28198	29454	Tyrosyl-tRNA_synthetase
COG0162	J	8050122206	Ga0611941_001_670303_671565	tyrosyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		670303	671565	Tyrosyl-tRNA_synthetase
COG0164	L	8050122289	Ga0611941_001_750105_750872	ribonuclease_HII	8050121573	Enterococcus_faecalis_Wae12b		750105	750872	Ribonuclease_HII
COG0166	G	8050122442	Ga0611941_001_911059_912408	glucose-6-phosphate_isomerase	8050121573	Enterococcus_faecalis_Wae12b		911059	912408	Glucose-6-phosphate_isomerase
COG0167	F	8050123625	Ga0611941_006_138388_139356	dihydroorotate_dehydrogenase_(fumarate)	8050121573	Enterococcus_faecalis_Wae12b		138388	139356	Dihydroorotate_dehydrogenase
COG0167	F	8050122230	Ga0611941_001_694362_695300	dihydroorotate_dehydrogenase_(NAD+)_catalytic_subunit	8050121573	Enterococcus_faecalis_Wae12b		694362	695300	Dihydroorotate_dehydrogenase
